Review_ID,Review_Text
427,Billing issue was resolved quickly by support.
428,"Average experience, nothing special."
429,The app crashed when trying to checkout.
430,Beautiful ambience and friendly staff.
431,Too expensive for the small portion size.
432,Beautiful ambience and friendly staff.
433,Clean tables and excellent hygiene.
434,The food was absolutely delicious and service was fast.
435,The delivery driver dropped the package in the rain.
436,The food was absolutely delicious and service was fast.
437,The food arrived cold and unappetizing.
438,Clean tables and excellent hygiene.
439,Billing issue was resolved quickly by support.
440,The food was absolutely delicious and service was fast.
441,"Average experience, nothing special."
442,"Average experience, nothing special."
443,Billing issue was resolved quickly by support.
444,Clean tables and excellent hygiene.
445,Clean tables and excellent hygiene.
446,"Average experience, nothing special."
447,The food was absolutely delicious and service was fast.
448,The food was absolutely delicious and service was fast.
449,Clean tables and excellent hygiene.
450,Beautiful ambience and friendly staff.
451,Clean tables and excellent hygiene.
452,Too expensive for the small portion size.
453,The delivery driver dropped the package in the rain.
454,The delivery driver dropped the package in the rain.
455,The app crashed when trying to checkout.
456,The delivery driver dropped the package in the rain.
457,Clean tables and excellent hygiene.
458,Beautiful ambience and friendly staff.
459,The service was incredibly slow and rude.
460,Clean tables and excellent hygiene.
461,"Average experience, nothing special."
462,Clean tables and excellent hygiene.
463,"Average experience, nothing special."
464,The app crashed when trying to checkout.
465,The food arrived cold and unappetizing.
466,"Average experience, nothing special."
467,The food arrived cold and unappetizing.
468,Beautiful ambience and friendly staff.
469,The app crashed when trying to checkout.
470,The food arrived cold and unappetizing.
471,The delivery driver dropped the package in the rain.
472,Beautiful ambience and friendly staff.
473,Beautiful ambience and friendly staff.
474,Clean tables and excellent hygiene.
475,The service was incredibly slow and rude.
476,The delivery driver dropped the package in the rain.
477,Billing issue was resolved quickly by support.
478,Clean tables and excellent hygiene.
479,The service was incredibly slow and rude.
480,The app crashed when trying to checkout.
481,The delivery driver dropped the package in the rain.
482,Beautiful ambience and friendly staff.
483,The food was absolutely delicious and service was fast.
484,The service was incredibly slow and rude.
485,The app crashed when trying to checkout.
486,Clean tables and excellent hygiene.
487,Too expensive for the small portion size.
488,The delivery driver dropped the package in the rain.
489,Clean tables and excellent hygiene.
490,"Average experience, nothing special."
491,The service was incredibly slow and rude.
492,"Average experience, nothing special."
493,Billing issue was resolved quickly by support.
494,The food arrived cold and unappetizing.
495,Too expensive for the small portion size.
496,Clean tables and excellent hygiene.
497,The app crashed when trying to checkout.
498,Beautiful ambience and friendly staff.
499,Too expensive for the small portion size.
500,Clean tables and excellent hygiene.
501,The service was incredibly slow and rude.
502,Beautiful ambience and friendly staff.
503,"Average experience, nothing special."
504,Clean tables and excellent hygiene.
505,Clean tables and excellent hygiene.
506,Beautiful ambience and friendly staff.
507,The food arrived cold and unappetizing.
508,The food was absolutely delicious and service was fast.
509,The service was incredibly slow and rude.
510,The food arrived cold and unappetizing.
511,The delivery driver dropped the package in the rain.
512,Clean tables and excellent hygiene.
513,The service was incredibly slow and rude.
514,The app crashed when trying to checkout.
515,The delivery driver dropped the package in the rain.
516,The food was absolutely delicious and service was fast.
517,Beautiful ambience and friendly staff.
518,The service was incredibly slow and rude.
519,The food was absolutely delicious and service was fast.
520,The food was absolutely delicious and service was fast.
521,The service was incredibly slow and rude.
522,The delivery driver dropped the package in the rain.
523,"Average experience, nothing special."
524,The app crashed when trying to checkout.
525,"Average experience, nothing special."
526,"Average experience, nothing special."
527,Too expensive for the small portion size.
528,The food was absolutely delicious and service was fast.
529,"Average experience, nothing special."
530,The service was incredibly slow and rude.
531,Billing issue was resolved quickly by support.
532,The service was incredibly slow and rude.
533,Clean tables and excellent hygiene.
534,The food arrived cold and unappetizing.
535,The delivery driver dropped the package in the rain.
536,Beautiful ambience and friendly staff.
537,Too expensive for the small portion size.
538,The service was incredibly slow and rude.
539,The delivery driver dropped the package in the rain.
540,Beautiful ambience and friendly staff.
541,The delivery driver dropped the package in the rain.
542,The delivery driver dropped the package in the rain.
543,Too expensive for the small portion size.
544,The service was incredibly slow and rude.
545,The food was absolutely delicious and service was fast.
546,Too expensive for the small portion size.
547,"Average experience, nothing special."
548,"Average experience, nothing special."
549,The app crashed when trying to checkout.
550,The service was incredibly slow and rude.
551,The app crashed when trying to checkout.
552,The app crashed when trying to checkout.
553,"Average experience, nothing special."
554,The delivery driver dropped the package in the rain.
555,The food was absolutely delicious and service was fast.
556,Beautiful ambience and friendly staff.
557,The food was absolutely delicious and service was fast.
558,Too expensive for the small portion size.
559,Clean tables and excellent hygiene.
560,Beautiful ambience and friendly staff.
561,Billing issue was resolved quickly by support.
562,The food arrived cold and unappetizing.
563,Clean tables and excellent hygiene.
564,The food arrived cold and unappetizing.
565,The service was incredibly slow and rude.
566,The food arrived cold and unappetizing.
567,The food was absolutely delicious and service was fast.
568,The food was absolutely delicious and service was fast.
569,The app crashed when trying to checkout.
570,The service was incredibly slow and rude.
571,The app crashed when trying to checkout.
572,Beautiful ambience and friendly staff.
573,Billing issue was resolved quickly by support.
574,Beautiful ambience and friendly staff.
575,The app crashed when trying to checkout.
576,The food arrived cold and unappetizing.
577,Billing issue was resolved quickly by support.
578,The service was incredibly slow and rude.
579,Too expensive for the small portion size.
580,Billing issue was resolved quickly by support.
581,Too expensive for the small portion size.
582,The delivery driver dropped the package in the rain.
583,Beautiful ambience and friendly staff.
584,Clean tables and excellent hygiene.
585,Beautiful ambience and friendly staff.
586,The service was incredibly slow and rude.
587,Too expensive for the small portion size.
588,Beautiful ambience and friendly staff.
589,"Average experience, nothing special."
590,The delivery driver dropped the package in the rain.
591,The app crashed when trying to checkout.
592,Beautiful ambience and friendly staff.
593,Clean tables and excellent hygiene.
594,Billing issue was resolved quickly by support.
595,The food was absolutely delicious and service was fast.
596,Too expensive for the small portion size.
597,The service was incredibly slow and rude.
598,The food was absolutely delicious and service was fast.
599,The app crashed when trying to checkout.
600,The food arrived cold and unappetizing.
601,Too expensive for the small portion size.
602,Clean tables and excellent hygiene.
603,The delivery driver dropped the package in the rain.
604,Beautiful ambience and friendly staff.
605,The app crashed when trying to checkout.
606,The food was absolutely delicious and service was fast.
607,Clean tables and excellent hygiene.
608,The food arrived cold and unappetizing.
609,Too expensive for the small portion size.
610,The service was incredibly slow and rude.
611,The food was absolutely delicious and service was fast.
612,Too expensive for the small portion size.
613,The delivery driver dropped the package in the rain.
614,The service was incredibly slow and rude.
615,The delivery driver dropped the package in the rain.
616,The food was absolutely delicious and service was fast.
617,The delivery driver dropped the package in the rain.
618,The delivery driver dropped the package in the rain.
619,The app crashed when trying to checkout.
620,Too expensive for the small portion size.
621,Too expensive for the small portion size.
622,The food arrived cold and unappetizing.
623,The app crashed when trying to checkout.
624,"Average experience, nothing special."
625,The food arrived cold and unappetizing.
626,Too expensive for the small portion size.
627,The food was absolutely delicious and service was fast.
628,Clean tables and excellent hygiene.
629,Too expensive for the small portion size.
630,Too expensive for the small portion size.
631,Beautiful ambience and friendly staff.
632,Beautiful ambience and friendly staff.
633,The app crashed when trying to checkout.
634,The delivery driver dropped the package in the rain.
635,"Average experience, nothing special."
636,Beautiful ambience and friendly staff.
637,The app crashed when trying to checkout.
638,Too expensive for the small portion size.
639,Clean tables and excellent hygiene.
640,The service was incredibly slow and rude.
641,Too expensive for the small portion size.
642,The delivery driver dropped the package in the rain.
643,"Average experience, nothing special."
644,The app crashed when trying to checkout.
645,Beautiful ambience and friendly staff.
646,The app crashed when trying to checkout.
647,"Average experience, nothing special."
648,Beautiful ambience and friendly staff.
649,The app crashed when trying to checkout.
650,Clean tables and excellent hygiene.
651,Clean tables and excellent hygiene.
652,Too expensive for the small portion size.
653,The food arrived cold and unappetizing.
654,The app crashed when trying to checkout.
655,The food was absolutely delicious and service was fast.
656,Clean tables and excellent hygiene.
657,The food was absolutely delicious and service was fast.
658,The delivery driver dropped the package in the rain.
659,Billing issue was resolved quickly by support.
660,The app crashed when trying to checkout.
661,The food arrived cold and unappetizing.
662,Billing issue was resolved quickly by support.
663,Billing issue was resolved quickly by support.
664,The food was absolutely delicious and service was fast.
665,Too expensive for the small portion size.
666,The service was incredibly slow and rude.
667,The app crashed when trying to checkout.
668,Beautiful ambience and friendly staff.
669,"Average experience, nothing special."
670,Clean tables and excellent hygiene.
671,Beautiful ambience and friendly staff.
672,Too expensive for the small portion size.
673,Billing issue was resolved quickly by support.
674,Too expensive for the small portion size.
675,Billing issue was resolved quickly by support.
676,The food arrived cold and unappetizing.
677,The app crashed when trying to checkout.
678,Clean tables and excellent hygiene.
679,The delivery driver dropped the package in the rain.
680,The delivery driver dropped the package in the rain.
681,The food arrived cold and unappetizing.
682,Beautiful ambience and friendly staff.
683,Beautiful ambience and friendly staff.
684,Too expensive for the small portion size.
685,Clean tables and excellent hygiene.
686,The app crashed when trying to checkout.
687,The delivery driver dropped the package in the rain.
688,"Average experience, nothing special."
689,Billing issue was resolved quickly by support.
690,The service was incredibly slow and rude.
691,Clean tables and excellent hygiene.
692,The food was absolutely delicious and service was fast.
693,Too expensive for the small portion size.
694,Too expensive for the small portion size.
695,The food arrived cold and unappetizing.
696,"Average experience, nothing special."
697,Beautiful ambience and friendly staff.
698,The food was absolutely delicious and service was fast.
699,Clean tables and excellent hygiene.
700,The delivery driver dropped the package in the rain.
701,The delivery driver dropped the package in the rain.
702,The food arrived cold and unappetizing.
703,Too expensive for the small portion size.
704,Beautiful ambience and friendly staff.
705,The service was incredibly slow and rude.
706,The delivery driver dropped the package in the rain.
707,Too expensive for the small portion size.
708,Billing issue was resolved quickly by support.
709,The food was absolutely delicious and service was fast.
710,The delivery driver dropped the package in the rain.
711,Clean tables and excellent hygiene.
712,The food arrived cold and unappetizing.
713,The food was absolutely delicious and service was fast.
714,The delivery driver dropped the package in the rain.
715,"Average experience, nothing special."
716,The food was absolutely delicious and service was fast.
717,Beautiful ambience and friendly staff.
718,The food was absolutely delicious and service was fast.
719,The food arrived cold and unappetizing.
720,The app crashed when trying to checkout.
721,The service was incredibly slow and rude.
722,The app crashed when trying to checkout.
723,Too expensive for the small portion size.
724,The service was incredibly slow and rude.
725,"Average experience, nothing special."
726,The food arrived cold and unappetizing.
727,The delivery driver dropped the package in the rain.
728,Billing issue was resolved quickly by support.
729,The food arrived cold and unappetizing.
730,Beautiful ambience and friendly staff.
731,Billing issue was resolved quickly by support.
732,Clean tables and excellent hygiene.
733,The service was incredibly slow and rude.
734,Too expensive for the small portion size.
735,The food arrived cold and unappetizing.
736,The delivery driver dropped the package in the rain.
737,The app crashed when trying to checkout.
738,"Average experience, nothing special."
739,Billing issue was resolved quickly by support.
740,"Average experience, nothing special."
741,Beautiful ambience and friendly staff.
742,Clean tables and excellent hygiene.
743,The food was absolutely delicious and service was fast.
744,Billing issue was resolved quickly by support.
745,The app crashed when trying to checkout.
746,Clean tables and excellent hygiene.
747,Too expensive for the small portion size.
748,The service was incredibly slow and rude.
749,Clean tables and excellent hygiene.
750,"Average experience, nothing special."
751,"Average experience, nothing special."
752,Billing issue was resolved quickly by support.
753,Beautiful ambience and friendly staff.
754,Billing issue was resolved quickly by support.
755,Too expensive for the small portion size.
756,Billing issue was resolved quickly by support.
757,The food arrived cold and unappetizing.
758,Billing issue was resolved quickly by support.
759,Clean tables and excellent hygiene.
760,Clean tables and excellent hygiene.
761,The food was absolutely delicious and service was fast.
762,Beautiful ambience and friendly staff.
763,Clean tables and excellent hygiene.
764,The food was absolutely delicious and service was fast.
765,The delivery driver dropped the package in the rain.
766,"Average experience, nothing special."
767,Beautiful ambience and friendly staff.
768,The food arrived cold and unappetizing.
769,"Average experience, nothing special."
770,Too expensive for the small portion size.
771,Beautiful ambience and friendly staff.
772,The service was incredibly slow and rude.
773,"Average experience, nothing special."
774,The food arrived cold and unappetizing.
775,The service was incredibly slow and rude.
776,"Average experience, nothing special."
777,The service was incredibly slow and rude.
778,"Average experience, nothing special."
779,Too expensive for the small portion size.
780,Too expensive for the small portion size.
781,The food arrived cold and unappetizing.
782,Clean tables and excellent hygiene.
783,The delivery driver dropped the package in the rain.
784,"Average experience, nothing special."
785,Too expensive for the small portion size.
786,The service was incredibly slow and rude.
787,The food was absolutely delicious and service was fast.
788,Too expensive for the small portion size.
789,Too expensive for the small portion size.
790,The food arrived cold and unappetizing.
791,"Average experience, nothing special."
792,The food was absolutely delicious and service was fast.
793,The delivery driver dropped the package in the rain.
794,The food arrived cold and unappetizing.
795,The service was incredibly slow and rude.
796,"Average experience, nothing special."
797,Clean tables and excellent hygiene.
798,Beautiful ambience and friendly staff.
799,Clean tables and excellent hygiene.
800,The service was incredibly slow and rude.
801,Beautiful ambience and friendly staff.
802,"Average experience, nothing special."
803,Too expensive for the small portion size.
804,The food arrived cold and unappetizing.
805,The delivery driver dropped the package in the rain.
806,Billing issue was resolved quickly by support.
807,"Average experience, nothing special."
808,The food was absolutely delicious and service was fast.
809,Beautiful ambience and friendly staff.
810,Beautiful ambience and friendly staff.
811,The food arrived cold and unappetizing.
812,The food arrived cold and unappetizing.
813,Too expensive for the small portion size.
814,The food was absolutely delicious and service was fast.
815,Billing issue was resolved quickly by support.
816,The app crashed when trying to checkout.
817,The food arrived cold and unappetizing.
818,Beautiful ambience and friendly staff.
819,The service was incredibly slow and rude.
820,Beautiful ambience and friendly staff.
821,The food arrived cold and unappetizing.
822,The food was absolutely delicious and service was fast.
823,The service was incredibly slow and rude.
824,The food arrived cold and unappetizing.
